Date_target,Lambda_t,NewEnergy_Sigma
2025-04-21,89.03868,0.00010656339586525995
2025-04-22,89.40216,0.00017556420649970177
2025-04-23,89.842026,0.00027126065819952093
2025-04-24,90.45883,0.0001146097829856148
2025-04-25,90.794975,0.00012463149131731953
2025-04-28,91.70549,7.715004961316189e-05
2025-04-29,92.56029,9.774737334588315e-06
2025-04-30,93.42391,3.134573252145843e-05
2025-05-06,96.60767,0.00036933885448805224
2025-05-07,93.28527,0.00024034725089896422
2025-05-08,94.11197,0.0002598464743471409
2025-05-09,94.552956,0.00043130876748690913
2025-05-12,94.75148,0.00011165913425857158
2025-05-13,95.99591,1.4324589283732508e-05
2025-05-14,96.78399,0.00024232904141914793
2025-05-15,98.1745,8.41278691519302e-05
2025-05-16,99.43777,0.00022087357320105225
2025-05-19,101.637955,0.00013386251758969818
2025-05-20,102.746925,0.00013219621803654678
2025-05-21,101.687904,6.034342869009509e-05
2025-05-22,102.39316,4.922814417386291e-05
2025-05-23,102.51954,6.374350422503974e-05
2025-05-26,103.77918,8.374812501819919e-05
2025-05-27,103.77918,0.00010878216836395605
2025-05-28,103.50086,6.221433374271372e-05
2025-05-29,105.55143,0.0005200579922336895
2025-05-30,105.39961,0.00017272147293010022
2025-06-03,105.561646,0.00014692202282025167
2025-06-04,104.87299,0.00014642268609357033
2025-06-05,106.07721,8.212883741509923e-05
2025-06-06,106.56902,4.935874332980835e-05
2025-06-09,106.80307,0.00012510779209742317
2025-06-10,106.83188,2.1585687813712037e-05
2025-06-11,106.90061,3.323736202838045e-05
2025-06-12,107.076775,0.00011026246238601397
2025-06-13,107.380516,4.5923057102077096e-05
2025-06-16,107.37903,1.5193046524463903e-05
2025-06-17,106.594925,6.859362977632285e-05
2025-06-18,106.56263,5.778086787620572e-05
2025-06-19,106.164955,6.33468931716102e-05
2025-06-20,106.164955,6.313347775735979e-05
2025-06-23,106.164955,0.00017604026609528884
2025-06-24,106.164955,0.00020540813899512408
2025-06-25,106.164955,6.338426100139935e-05
2025-06-26,106.164955,4.138397258487156e-05
2025-06-27,106.164955,0.000303565214057411
2025-06-30,106.164955,9.40127445811385e-05
2025-07-01,106.164955,3.936716359061515e-05
