date,OVX_index
2017/9/19,25.76
2017/9/20,26.99
2017/9/21,26.3
2017/9/22,26.39
2017/9/25,26.93
2017/9/26,27.8
2017/9/27,27.29
2017/9/28,27.18
2017/9/29,26.83
2017/10/2,27.72
2017/10/3,27.95
2017/10/4,27.04
2017/10/5,26.45
2017/10/6,27.59
2017/10/9,27.32
2017/10/10,26.54
2017/10/11,26.43
2017/10/12,25.85
2017/10/13,25.73
2017/10/16,26.32
2017/10/17,25.87
2017/10/18,26.41
2017/10/19,26.3
2017/10/20,24.51
2017/10/23,25.08
2017/10/24,25.6
2017/10/25,25.44
2017/10/26,25.22
2017/10/27,25.18
2017/10/30,25.33
2017/10/31,25.31
2017/11/1,25.65
2017/11/2,25.65
2017/11/3,24.82
2017/11/6,26.85
2017/11/7,28.75
2017/11/8,27.99
2017/11/9,28.37
2017/11/10,29.4
2017/11/13,30.22
2017/11/14,30.08
2017/11/15,29.84
2017/11/16,28.42
2017/11/17,26.96
2017/11/20,27.18
2017/11/21,26.64
2017/11/22,26.83
2017/11/23,
2017/11/24,26.88
2017/11/27,28.36
2017/11/28,28.13
2017/11/29,28.02
2017/11/30,25.95
2017/12/1,23.73
2017/12/4,23.68
2017/12/5,23.13
2017/12/6,23.13
2017/12/7,23.13
2017/12/8,23.85
2017/12/11,22.96
2017/12/12,22.84
2017/12/13,23.49
2017/12/14,23
2017/12/15,21.25
2017/12/18,18.43
2017/12/19,18.88
2017/12/20,19.46
2017/12/21,17.86
2017/12/22,19.26
2017/12/25,
2017/12/26,20.99
2017/12/27,20.64
2017/12/28,20.71
2017/12/29,21.32
2018/1/1,
2018/1/2,22.73
2018/1/3,22.75
2018/1/4,22.12
2018/1/5,22.3
2018/1/8,21.9
2018/1/9,22.96
2018/1/10,23.52
2018/1/11,23.52
2018/1/12,23.52
2018/1/15,
2018/1/16,26.41
2018/1/17,24.78
2018/1/18,24.38
2018/1/19,21.2
2018/1/22,22.03
2018/1/23,22.34
2018/1/24,23.93
2018/1/25,22.35
2018/1/26,22.29
2018/1/29,22.73
2018/1/30,22.9
2018/1/31,22.23
2018/2/1,22.24
2018/2/2,23.8
2018/2/5,25.91
2018/2/6,26.59
2018/2/7,26.79
2018/2/8,29.5
2018/2/9,29.85
2018/2/12,29.42
2018/2/13,30.39
2018/2/14,27.73
2018/2/15,27.57
2018/2/16,26.97
2018/2/19,
2018/2/20,27.58
2018/2/21,26.93
2018/2/22,24.98
2018/2/23,24.37
2018/2/26,24.36
2018/2/27,25.29
2018/2/28,26.92
2018/3/1,26.98
2018/3/2,26.15
2018/3/5,26.3
2018/3/6,25.55
2018/3/7,26.94
2018/3/8,26.16
2018/3/9,26.23
2018/3/12,24.02
2018/3/13,25.5
2018/3/14,25.21
2018/3/15,25.07
2018/3/16,24.53
2018/3/19,25.28
2018/3/20,25.3
2018/3/21,25.95
2018/3/22,26.47
2018/3/23,27.56
2018/3/26,27.71
2018/3/27,27.38
2018/3/28,26.67
2018/3/29,25.07
2018/3/30,
2018/4/2,27.53
2018/4/3,26.89
2018/4/4,26.17
2018/4/5,24.38
2018/4/6,24.99
2018/4/9,25.64
2018/4/10,28.05
2018/4/11,29.42
2018/4/12,28.73
