Date_target,Oil_GRU_z_used,NewEnergy_MeanPred,NewEnergy_Sigma,CI_low,CI_high,ConfLevel,RiskLevel
2024-10-21,19.8332144833821,-0.1494780014833682,0.9561121347093201,-2.0234577855136355,1.7245017825468993,0.95,LOW
2024-10-22,18.31378516865216,-0.023607135582752126,0.9829677984437006,-1.9502240205324053,1.9030097493669011,0.95,MEDIUM
2024-10-23,16.03995024298187,-0.13698494506424091,0.9763233173116357,-2.0505786469950467,1.776608756866565,0.95,LOW
2024-10-24,17.16974772082621,-0.2663632177960208,0.9932963107952851,-2.2132239869547794,1.680497551362738,0.95,MEDIUM
2024-10-25,17.914814200588218,-0.1670662003562992,0.9673703594916845,-2.0631121049600005,1.7289797042474022,0.95,LOW
2024-10-28,16.28949428086635,-0.12630802611002204,0.9612041851704757,-2.0102682290441543,1.7576521768241102,0.95,LOW
2024-10-29,21.20488253034682,-0.23484025234970346,0.9826493597948897,-2.160832997547687,1.6911524928482802,0.95,MEDIUM
2024-10-30,21.46560264016276,0.0655479891895635,1.0549660497282436,-2.0021854682777938,2.133281446656921,0.95,HIGH
2024-10-31,18.83326463531506,0.048587275399994634,0.9474242947863972,-1.8083643423813438,1.9055388931813333,0.95,LOW
2024-11-01,17.062221314063848,-0.12177320765656519,0.9999259777727254,-2.081628124091107,1.8380817087779766,0.95,MEDIUM
2024-11-04,18.95259182930939,-0.20474438929528987,0.9800050440399498,-2.1255542756135917,1.7160654970230118,0.95,LOW
2024-11-05,15.71437735780761,-0.07115027676176044,0.9823938485118976,-1.9966422198450797,1.8543416663215588,0.95,MEDIUM
2024-11-06,15.779532034049652,-0.3087967727750101,1.010931919613408,-2.2902233352172896,1.6726297896672693,0.95,HIGH
2024-11-07,16.56275182973771,-0.24912649615506982,0.9429124272634094,-2.097234853591352,1.5989818612812126,0.95,LOW
2024-11-08,16.22518650437422,-0.19953743202735674,0.9611725814707341,-2.0834356917099957,1.684360827655282,0.95,LOW
2024-11-11,18.175290281317828,-0.2164341859715322,0.9552267989285866,-2.088678711871562,1.6558103399284976,0.95,LOW
2024-11-13,20.57490312407057,-0.09260094321059739,0.9910795216769756,-2.0351168056974696,1.8499149192762747,0.95,MEDIUM
2024-11-14,19.89777210969952,0.03312057054030457,1.000130115428513,-1.9271344556995806,1.9933755967801898,0.95,MEDIUM
