test_index,strategy_nav,buy_hold_nav,strategy_return,buy_hold_return,signal
135,1.413182717705497,0.8993432643286207,0.00421357020957331,0.00421357020957331,1.0
136,1.4199908233697636,0.9036759128214759,0.004817569291620447,0.004817569291620447,1.0
137,1.4250887125238183,0.906920187051235,0.0035900859851733793,0.0035900859851733793,1.0
138,1.4319456929414711,0.9112839392221235,0.004811616538249817,0.004811616538249817,1.0
139,1.437869455621581,0.9150537957304793,0.004136862668263158,0.004136862668263158,1.0
140,1.435715366086528,0.9136829426271693,-0.0014981120341845348,-0.0014981120341845348,1.0
141,1.432003753770851,0.9113208888785054,-0.002585200662575758,-0.002585200662575758,1.0
142,1.4345019152001819,0.9097310699354022,0.0017445215648021412,-0.0017445215648021412,-1.0
143,1.4378415528205672,0.9076131417030332,0.00232808167420225,-0.00232808167420225,-1.0
144,1.440371228844833,0.9060163265328423,0.0017593565989962726,-0.0017593565989962726,-1.0
145,1.4436524168262987,0.9039524073000098,0.0022780154975028874,-0.0022780154975028874,-1.0
146,1.4444229561502457,0.9034699290603151,0.0005337429667738394,-0.0005337429667738394,-1.0
147,1.4383162830560106,0.9072895827730669,-0.004227759651861959,0.004227759651861959,-1.0
148,1.4314909884542275,0.9115949770486554,-0.004745336392411004,0.004745336392411004,-1.0
149,1.4376226525623075,0.9154997129128406,0.0042834109034113515,0.0042834109034113515,1.0
150,1.4451092529183553,0.9202672925446995,0.0052076254799577025,0.0052076254799577025,1.0
151,1.4524237642421487,0.9249252832942855,0.00506156286040093,0.00506156286040093,1.0
152,1.4603934353063956,0.9300004896137767,0.005487152758344945,0.005487152758344945,1.0
153,1.4657538368641019,0.9334140738936508,0.0036705187986424506,0.0036705187986424506,1.0
154,1.4654562538629556,0.9332245685657878,-0.00020302385957449485,-0.00020302385957449485,1.0
155,1.4650692176638842,0.9329780980969863,-0.0002641062795638381,-0.0002641062795638381,1.0
156,1.4649525761208155,0.9330523771847586,-7.961503911379435e-05,7.961503911379435e-05,-1.0
157,1.4663220178114547,0.9321801572605818,0.0009348027458100545,-0.0009348027458100545,-1.0
158,1.467556783363192,0.9313951837471128,0.0008420834828492469,-0.0008420834828492469,-1.0
159,1.4692697257279108,0.9303080528867456,0.0011672068734493734,-0.0011672068734493734,-1.0
160,1.4690464643746173,0.9304494168795036,-0.00015195396010958979,0.00015195396010958979,-1.0
161,1.4648868427599364,0.9330839948861747,-0.002831511266358539,0.002831511266358539,-1.0
162,1.4599498153102206,0.936228716485943,-0.003370244926505141,0.003370244926505141,-1.0
163,1.4656761394176039,0.9399008626193351,0.003922274620218145,0.003922274620218145,1.0
164,1.4725106940728436,0.9442836888408436,0.004663072879084692,0.004663072879084692,1.0
165,1.480089951722208,0.9491440741681795,0.005147166455138437,0.005147166455138437,1.0
166,1.487242147146631,0.9537305953431156,0.004832270779286696,0.004832270779286696,1.0
167,1.4941077904379643,0.95813335791693,0.004616358744610287,0.004616358744610287,1.0
168,1.5036083055118286,0.9642257968078307,0.006358654398742934,0.006358654398742934,1.0
169,1.5119290606463625,0.9695616856295592,0.00553385818901914,0.00553385818901914,1.0
170,1.5175875001826107,0.9731902991125572,0.003742529781013197,0.003742529781013197,1.0
171,1.5236093723177928,0.9770519726857451,0.003968055966761396,0.003968055966761396,1.0
172,1.5280675321282984,0.979910877281991,0.0029260517108289754,0.0029260517108289754,1.0
173,1.534523795880165,0.9840511151602501,0.004225116767499438,0.004225116767499438,1.0
174,1.5404859030537863,0.9878744629823293,0.0038853142516448893,0.0038853142516448893,1.0
