sample_index,raw_feature_0,scaled_feature_0
156,-0.0008345852111499852,-0.12496160551304922
157,-0.0008352823254259567,-0.1250440419035619
158,-0.0008359806052500307,-0.12512661612453055
159,-0.0008366800535474228,-0.12520932852187297
160,-0.0008373806732541178,-0.12529217944278043
161,-0.0008380824673147602,-0.1253751692354682
162,4.79305485656667e-05,-0.02060079078133262
163,4.792841908729528e-05,-0.02060104260017591
164,4.792595432312474e-05,-0.020601334067828613
165,4.792365753591987e-05,-0.020601605671572033
166,4.7921360969205296e-05,-0.020601877249241646
167,4.7919232339266316e-05,-0.0206021289677546
168,4.79167684876991e-05,-0.020602420327488522
169,-0.006468460338755699,-0.791188573066724
170,-0.006510573557896637,-0.7961686199521638
171,-0.006553239071708017,-0.8012139777639468
172,-0.006596467127927386,-0.8063258583356606
173,-0.006640269619210604,-0.8115056680186836
174,-0.006684657374332881,-0.8167546873564974
175,-0.006729642904708566,-0.8220743958710031
176,-0.010514165290707922,-1.269608431637762
177,-0.010625887629606035,-1.2828200192867991
178,-0.010740009766526004,-1.296315392096606
179,-0.010856609681105023,-1.3101037714531805
180,-0.010975769507978295,-1.3241948700866957
181,-0.011097573921437731,-1.3385987010513023
182,-0.011222112140471308,-1.3533258148285892
183,-0.005011105612438449,-0.6188508840031427
184,-0.00503634345098114,-0.621835353530612
185,-0.005061836407055487,-0.6248499916677211
186,-0.005087589142530158,-0.6278953496980106
187,-0.005113604870645938,-0.6309718075993137
188,-0.005139888422606043,-0.6340799366796189
189,-0.005166443169557167,-0.6372201355897288
190,-0.007719731577913169,-0.9391561130582052
191,-0.007779789662341274,-0.9462582078969
192,-0.007840789154720751,-0.9534716277739506
193,-0.00790275297453602,-0.960799083004772
194,-0.007965703965241544,-0.9682432749139498
195,-0.008029666111186495,-0.9758070397411692
196,-0.008094663350784015,-0.9834932082940065
197,-0.0030268859576235707,-0.38420943142456665
198,-0.0030360756045096915,-0.3852961418040406
199,-0.0030453216396058025,-0.38638952030186946
200,-0.0030546237423966227,-0.3874895290159132
201,-0.003063983268064674,-0.3885963282016127
202,-0.0030733999036721693,-0.38970988085289515
203,-0.003082875022388687,-0.3908303493522386
204,-0.009853262096774174,-1.1914541380533135
205,-0.00995131522612891,-1.2030492901554717
206,-0.010051339055175634,-1.2148774849236483
207,-0.010153394482167344,-1.2269459238057818
208,-0.010257543145452463,-1.2392618957688846
209,-0.010363851015326886,-1.2518332020490837
210,-0.010472385030335207,-1.2646677583815646
211,-0.004461232961021189,-0.5538263705382681
212,-0.0044812245196075295,-0.556190447688006
213,-0.004501396517019973,-0.5585758624089929
214,-0.004521750478877817,-0.5609827951114609
215,-0.004542289811044542,-0.5634116485516026
216,-0.00456301612058907,-0.5658626127713755
217,-0.004583932913515776,-0.5683361023690106
218,-0.006890756235294226,-0.8411266544385751
219,-0.006938568454429528,-0.8467806295525144
220,-0.006987048330639456,-0.8525135576318849
221,-0.00703621067468807,-0.8583271901053576
222,-0.0070860697543350115,-0.8642232141892843
223,-0.007136640730325272,-0.8702034226989002
224,-0.0071879382192977515,-0.8762695441068443
225,0.01684619456118641,1.9658572402915875
226,0.01656710193861377,1.9328534857901642
227,0.016297106120215732,1.9009254626676597
228,0.016035769718554027,1.8700214482110136
229,0.015782682028675277,1.8400928750115675
230,0.015537459249801877,1.81109435718085
231,0.015299740160525488,1.782983178925904
232,0.002622101503759522,0.28380462655570055
233,0.002615244068354894,0.2829937089738687
234,0.00260842240712722,0.2821870218232923
235,0.002601636021446252,0.2813845061390651
236,0.002594885293809135,0.28058620715291616
237,0.0025881692913773957,0.27979201455318026
238,0.0025814879635039922,0.27900192235065374
239,-0.004405149619978288,-0.5471943040854269
240,-0.004424641042942379,-0.5494992383128546
241,-0.004444305280377203,-0.5518246085027733
242,-0.004464145304928224,-0.5541707661817126
243,-0.004484163261297747,-0.5565379649688033
244,-0.0045043617759392696,-0.5589265154520706
245,-0.004524742631649259,-0.5613366284539159
246,0.00016004615729325877,-0.007342697492750693
247,0.00016002032259110344,-0.007345752543649899
248,0.00015999494417728855,-0.007348753636733125
249,0.0001599693498899324,-0.007351780257676219
250,0.0001599437637898049,-0.007354805910448666
251,0.00015991796198822072,-0.007357857070731332
252,0.00015989261617210815,-0.007360854309013401
253,0.0032612867054611083,0.359390685704975
254,0.0032506850656590647,0.3581370018414824
255,0.0032401525731651226,0.3568914949077845
256,0.0032296876699873245,0.35565398066546045
257,0.003219290588512891,0.35442448659517495
258,0.003208959793518984,0.3532028311510412
259,0.0031986955283993534,0.35198904311528745
260,-0.0005001562363240453,-0.08541411879850819
261,-0.0005004067366921605,-0.08544374141115765
262,-0.0005006570499250795,-0.08547334189436487
263,-0.0005009078329628602,-0.08550299793376763
264,-0.0005011588673651257,-0.0855326836979681
265,-0.0005014103728767649,-0.08556242517262759
266,-0.000501661691885702,-0.08559214459263963
267,0.012830164909969355,1.4909465978767893
268,0.01266763725456066,1.4717270900683936
269,0.012509175342167111,1.452988371695064
270,0.012354629331663203,1.4347127234789676
271,0.01220385501508603,1.4168830922849804
272,0.012056716800166623,1.399483443816258
273,0.011913083914839362,1.3824983137831697
274,-0.006821910739472137,-0.8329854150833514
275,-0.006868768867576813,-0.8385265653370113
276,-0.0069162751630966746,-0.8441443638304181
277,-0.006964442962706152,-0.8498403876755887
278,-0.007013286804336993,-0.8556163560377446
279,-0.007062820389375224,-0.8614738891574228
280,-0.007113058645004,-0.8674147522302915
281,-0.008040626322471378,-0.9771031260339406
282,-0.008105802047781663,-0.9848104011950135
283,-0.008172043010752694,-0.9926436447242822
284,-0.008239375542064109,-1.0006059703238526
285,-0.008307826847398392,-1.0087005951682144
286,-0.00837742504409178,-1.0169308442383505
287,-0.008448199199644235,-1.025300154875685
288,0.006374119058295991,0.7274948434933463
289,0.006333747223622677,0.7227207218843693
290,0.006293883135989109,0.7180066432765084
291,0.0062545181510673675,0.7133515854454071
292,0.006215642084819173,0.7087543440901558
293,0.006177246748600762,0.7042139508727672
294,0.006139322421842008,0.6997292562991875
295,-0.007052402446877104,-0.8602419281924626
296,-0.007102492079396616,-0.8661652160225097
297,-0.007153298324085178,-0.8721732459424124
298,-0.007204836450885321,-0.8782678236804263
299,-0.007257123054877468,-0.8844509116673572
300,-0.007310173886322935,-0.8907243724309676
301,-0.007364006051056249,-0.8970902288006609
302,-0.011450504854368937,-1.3803341140444856
303,-0.011583137399607257,-1.39601841240248
304,-0.011718879013793426,-1.412070369881439
305,-0.011857839601447817,-1.42850298310512
306,-0.012000135280803237,-1.4453299834921947
307,-0.012145887335309968,-1.4625657132677683
308,-0.012295223980030023,-1.4802253343461582
309,-0.001227295041728138,-0.17140102307709973
310,-0.0012288031457360349,-0.1715793620599809
311,-0.0012303149606298636,-0.17175813986910957
312,-0.001231830500123321,-0.17193735812618213
313,-0.0012333497779969393,-0.17211701846079847
314,-0.001234872808100862,-0.17229712251079016
315,-0.0012363996043520675,-0.17247767192189245
316,0.004668765288437626,0.5258303328385268
317,0.004647069213003174,0.5232646901472849
318,0.004625573851166909,0.5207227825955053
319,0.004604276186340073,0.5182042534601982
320,0.004583174230538889,0.5157088676547891
321,0.004562264577096187,0.5132362223280458
322,0.004541544847911361,0.5107860362606086
323,-0.005959516422920141,-0.731004036842167
324,-0.005995245185060116,-0.7352290976246337
325,-0.0060314049364643685,-0.7395051245119723
326,-0.006068003278751566,-0.7438330164242399
327,-0.006105048980094896,-0.748213810230963
328,-0.006142549545935627,-0.7526483934788588
329,-0.006180513657294773,-0.7571377927313805
330,-0.01554737478108581,-1.864804423718954
331,-0.01579291312025144,-1.8938402577435542
332,-0.01604633143855938,-1.9238079290008692
333,-0.0163080155188976,-1.954753057771392
334,-0.016578375664077716,-1.9867241639090014
335,-0.016857851458445205,-2.0197732299193154
336,-0.01714691154626302,-2.0539556747527183
337,-0.003569423357664192,-0.4483665237680614
